rxcui,atc
6922,"['A01AB17', 'D06BX01', 'G01AF01', 'J01XD01', 'P01AB01']"
10759,"['A01AC01', 'C05AA12', 'D07AB09', 'D07XB02', 'H02AB08', 'R01AD11', 'R03BA06', 'S01BA05']"
1995537,['S01XA27']
3289,['R05DA09']
10223,['D10AB02']
4018,['A11CC01']
10847,"['D04AA04', 'R06AC04']"
11256,['A11HA03']
6387,"['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']"
1999003,['C01CX09']
1378,"['D08AJ01', 'D09AA11', 'R02AA16']"
11248,['B03BA01']
9863,"['A12CA01', 'B05CB01', 'B05XA03']"
9525,"['D01AE12', 'S01BC08']"
1047072,['P02CX03']
274964,"['R01AD13', 'R03BA08']"
37935,"['R01AA06', 'R01AB03', 'S01GA02']"
6851,"['L01BA01', 'L04AX03']"
27334,['S01KA02']
7980,"['J01CE01', 'S01AA14']"
6873,['A06AC06']
1426,['P03AX06']
3423,['N02AA03']
27084,['S01FA05']
272,['A07BA01']
448,"['D08AX08', 'V03AB16', 'V03AZ01']"
11002,"['B05BC02', 'D02AE01']"
1418,['D10AE01']
2119240,"['A01AB24', 'R02AA21']"
10637,['D01AE18']
1897,"['A02AC01', 'A12AA04']"
324072,['P03AX05']
5657,['L01AA06']
612,['A02AB01']
56443,['B05XA08']
161,['N02BE01']
36387,['A06AB06']
8120,['G04BX06']
1399,"['C05AD03', 'D04AB04', 'N01BA05', 'R02AD01']"
10171,['J01EC02']
8163,"['C01CA06', 'R01AA04', 'R01AB01', 'R01BA03', 'S01FB01', 'S01GA05']"
6854,"['D05AD02', 'D05BA02']"
10172,['J01ED01']
6878,"['V03AB17', 'V04CG05']"
4917,"['C01DA02', 'C05AE01']"
8834,['B01AD12']
11246,"['A11CA01', 'D10AD02', 'R01AX02', 'S01XA02']"
29155,"['A02AA01', 'A06AD01']"
83818,['C09CA04']
5492,"['A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01']"
2418,['A11CC05']
72143,['G03XC01']
9524,['A07EC01']
9601,"['A04AD01', 'N05CM05', 'S01FA02']"
3264,"['A01AC02', 'C05AA09', 'D07AB19', 'D07XB05', 'D10AA03', 'H02AB02', 'R01AD03', 'S01BA01', 'S01CB01', 'S02BA06', 'S03BA01']"
3443,"['C05AE03', 'C08DB01']"
5509,['D11AX11']
3435,['G01AC01']
3255,"['D07AC03', 'D07XC02']"
1191,"['A01AD05', 'B01AC06', 'N02BA01']"
6468,['A07DA03']
6135,"['D01AC08', 'G01AF11', 'H02CA03', 'J02AB02']"
1596,"['A06AB02', 'A06AG02']"
10030,['A01AA04']
4850,"['B05CX01', 'V04CA02', 'V06DC01']"
41126,"['D07AC17', 'R01AD08', 'R03BA05']"
7052,['N02AA01']
86009,"['A10AB04', 'A10AC04', 'A10AD04']"
36676,"['B05CB04', 'B05XA02']"
5499,"['A01AB02', 'D08AX01', 'D11AX25', 'S02AA06']"
5224,"['B01AB01', 'C05BA03', 'S01XA14']"
2231,['J01DB01']
723,['J01CA04']
2119365,"['N01AX14', 'N06AX27']"
2002,['N03AF01']
2037,['V04CX08']
7812,"['D11AX27', 'R01AA05', 'R01AB07', 'S01GA04']"
798304,"['J07AF', 'J07AF01']"
4271,['B02BD07']
4493,['N06AB03']
2239,['J01DB09']
2597,['N06AA04']
5487,['C03AA03']
9873,"['A01AA01', 'A12CD01']"
10169,"['D10AF06', 'S01AB04']"
21406,['C01EB09']
4099,['G03CA57']
4249,['B02BD04']
2473,['M01AX25']
4462,"['C05AA11', 'D07AC08']"
7806,['V03AN01']
4910,"['A06AG04', 'A06AX01']"
8516,['A06AD15']
1151,"['A11GA01', 'G01AD03', 'S01XA15']"
1347,"['A07EA07', 'D07AC15', 'R01AD01', 'R03BA01']"
6980,"['A01AB23', 'D10AF07', 'J01AA08']"
1514,"['A07EA04', 'C05AA05', 'D07AC01', 'D07XC01', 'H02AB01', 'R01AD06', 'R03BA04', 'S01BA06', 'S01CB04', 'S02BA07', 'S03BA03']"
4550,"['J01XX01', 'S02AA17']"
4083,['G03CA03']
10600,"['C07AA06', 'S01ED01']"
37806,['G01AG02']
35465,['J06BB01']
3743,"['D01AC03', 'G01AF05']"
8638,"['A01AC04', 'A07EA01', 'C05AA04', 'D07AA03', 'D07XA02', 'H02AB06', 'R01AD02', 'S01BA04', 'S01CB02', 'S02BA03', 'S03BA02']"
283742,['A02BC05']
2023,['R05CB03']
3634,['N06AA16']
21212,['J01FA09']
10627,"['J01GB01', 'S01AA12']"
3361,['A03AA07']
2590,['D07AD01']
10184,"['D06BA05', 'J01EB06']"
3992,"['A01AD01', 'B02BC09', 'C01CA24', 'R01AA14', 'R03AA01', 'S01EA01']"
6902,"['D07AA01', 'D10AA02', 'H02AB04']"
6373,"['G03AC03', 'G03AD01']"
253182,"['A10AB01', 'A10AC01', 'A10AD01', 'A10AE01', 'A10AF01']"
7514,"['G03AC01', 'G03DC02']"
1596450,"['D06AX07', 'J01GB03', 'S01AA11', 'S02AA14', 'S03AA06']"
343048,['B01AC21']
19143,"['A11CA02', 'D02BB01']"
2596,['G03GB02']
42347,['N06AX12']
8787,['C07AA05']
8896,['R01BA02']
5933,['D08AG03']
10454,['A11DA01']
2582,"['D10AF01', 'G01AA10', 'J01FF01']"
6676,['R06AE05']
7258,"['G02CC02', 'M01AE02', 'M02AA12']"
20610,"['R06AE07', 'S01GX12']"
8611,"['D08AG02', 'D09AA09', 'D11AC06', 'G01AX11', 'R02AA15', 'S01AX18']"
50166,['C09AA09']
435,"['R03AC02', 'R03CC02']"
3355,"['D11AX18', 'M01AB05', 'M02AA15', 'S01BC03']"
386938,['G03GA05']
27221,['A02AD04']
797541,['D08AX05']
1992,"['M02AB01', 'N01BX04']"
31819,['P01AX11']
8134,['N03AA02']
3322,['N05BA01']
7407,['N07BA01']
20063,['A06AC08']
2541,['A02BA01']
10180,['J01EC01']
7984,['J01CE02']
704,['N06AA09']
4511,"['B03BB01', 'V04CX02']"
1202,['C07AB03']
17128,['A02BC03']
2176,['J01DC04']
51428,"['A10AB05', 'A10AD05']"
34347,"['C05AD07', 'D04AB07']"
39952,['D11AX12']
3368,"['G03CB01', 'G03CC02']"
1148138,['B06AC02']
3706,['G03DB01']
31447,['A04AD11']
36345,['D01AE13']
61148,['H01AC01']
4053,"['D10AF02', 'J01FA01', 'S01AA17']"
6691,"['G03AC06', 'G03DA02', 'L02AB02']"
6837,['V03AB26']
136411,['G04BE03']
23386,['R06AA07']
2265690,['N03AX25']
4450,"['D01AC15', 'J02AC01']"
26744,['J06BB04']
19831,"['A07EA06', 'D07AC09', 'R01AD05', 'R03BA02']"
10865,"['B05BB03', 'B05XX02']"
36117,['R03AC12']
6582,"['A02AA02', 'A06AD02', 'A12CC10']"
67109,['B01AB04']
4331,['M01AE04']
1085787,['A03BB01']
4815,['A10BB01']
24591,['G03DC06']
10811,['N04AA01']
6984,"['C02DC01', 'D11AX01']"
33094,['A03AX15']
7454,['J01XE01']
83367,['C10AA05']
10691,['B02AA02']
59768,['L03AX04']
41493,['M01AC06']
10829,['J01EA01']
5781,"['C01EB03', 'M01AB01', 'M02AA23', 'S01BC01']"
798306,['J07AM01']
24947,['B03AA07']
83682,['J01DD16']
4986,['G03GA01']
4112,['B02BX01']
2358,"['A01AB03', 'B05CA02', 'D08AC02', 'D09AA12', 'R02AA05', 'S01AX09', 'S02AA09', 'S03AA04']"
3288,['N06BA02']
20877,['D08AE05']
475342,['L01EA02']
2599,"['C02AC01', 'N02CX02', 'S01EA04']"
7247,"['R01AA08', 'R01AB02', 'S01GA01']"
3640,"['A01AB22', 'J01AA02']"
17627,['A03AX08']
7417,['C08CA05']
28889,['R06AX13']
6932,"['A01AB09', 'A07AC01', 'D01AC02', 'G01AF04', 'J02AB01', 'S02AA13']"
6876,['C02AB01']
27781,['V08AB05']
99,['B02AA01']
2604577,['A02BC08']
1388,['P03AB02']
7299,"['A01AB08', 'A07AA01', 'B05CA09', 'D06AX04', 'J01GB05', 'R02AB01', 'S01AA03', 'S02AA07', 'S03AA01']"
258326,['N06AX25']
358255,['A04AD12']
8984,['P02CC01']
281,"['D06BB03', 'J05AB01', 'S01AD03']"
28031,['J02AC02']
684879,['A11HA02']
42612,"['A07EB01', 'D11AH03', 'R01AC01', 'R03BC01', 'S01GX01']"
52175,['C09CA01']
10032,['A14AA02']
25483,['V08CA04']
591622,"['N07BA03', 'S01XA28']"
69722,['J05AH01']
6102,['A07BC02']
88014,['N02CC04']
1291,"['D06AX05', 'J01XX10', 'R02AB04']"
9800,['V04CC03']
24605,['M01AB08']
5140,['V03AN03']
140587,"['L01XX33', 'M01AH01']"
6536,['B05XB03']
42319,['A02BA04']
37801,"['D01AE15', 'D01BA02']"
25025,"['D11AX10', 'G04CB01']"
14851,['N03AG04']
1919,['A12AA01']
3478,['G02AD02']
108118,"['D07AC13', 'D07XC03', 'R01AD09', 'R03BA07']"
10355,['N05CD07']
32675,['G04BD04']
3498,"['D04AA32', 'R06AA02']"
27792,['V08AB07']
10450,"['D01AC06', 'P02CA02']"
33290,"['C05BB05', 'D08AE03', 'N01BX03', 'R02AA19']"
134615,"['D11AX21', 'S01EA05', 'S01GA07']"
9793,['D06BA01']
4124,"['G03CA01', 'L02AA03']"
52582,['A07EC02']
21254,['R05DB10']
24941,['B03AA02']
4278,['A02BA03']
5640,"['C01EB16', 'G02CC01', 'M01AE01', 'M02AA13', 'R02AX02']"
4495,['N05AF01']
21579,['V03AB20']
21183,['A09AB04']
8591,"['A12BA01', 'B05XA01']"
10735,['C01DX11']
8727,['G03DA04']
5032,['R05CA03']
42372,"['D06AX09', 'R01AX06']"
2348,"['D06AX02', 'D10AF03', 'G01AA05', 'J01BA01', 'S01AA01', 'S02AA01', 'S03AA08']"
3008,"['L04AD01', 'S01XA18']"
10753,"['D10AD01', 'L01XF01']"
7688,"['R03AB03', 'R03CB03']"
7597,"['A07AA02', 'D01AA01', 'G01AA01']"
7833,['J04AA01']
4603,['C03CA01']
2400,['R06AB04']
78903,['J04AB30']
327361,['L04AB04']
77492,['G04CA02']
214688,['A12CC06']
25138,['S01JA01']
68099,"['J05AB09', 'S01AD07']"
898492,['M09AB02']
6672,['P02CA01']
519,['M04AA01']
253453,['L03AB10']
7442,['R07AX01']
1726988,['V03AB35']
17767,['C08CA01']
10763,['C03DB02']
83929,['B01AC13']
6832,['J01XX05']
6470,['N05BA06']
535,['B02AB02']
2685,['C10AC02']
29046,['C09AA03']
1998,['C09AA01']
2288236,['L04AA38']
18631,"['J01FA10', 'S01AA26']"
2623,"['A01AB18', 'D01AC01', 'G01AF02']"
9143,['A02BA02']
10849,['R06AX07']
5653,"['D06BB01', 'J05AB02', 'S01AD01']"
314504,"['B02BD01', 'B02BD03']"
4448,['J01CF05']
2123126,['M05BX06']
7004,['L01XX23']
3292,['C10AX01']
1520,"['C07AB05', 'S01ED02']"
6446,"['G02CB02', 'N02CA07']"
1364105,['H01CB05']
110,"['A01AB07', 'D08AH03', 'G01AC30', 'R02AA14']"
29365,['D05AX02']
22697,['R06AB02']
8691,['N03AA03']
1390,['R02AA09']
17300,['G04CA01']
1223,"['A03BA01', 'S01FA01']"
33767,"['R03AC08', 'R03CC07']"
3510,"['J06AA01', 'J06BB10']"
6972,['A06AA01']
8356,"['M01AC01', 'M02AA07', 'S01BC06']"
5521,['P01BA02']
9639,['N04BD01']
10391,"['C05AD02', 'D04AB06', 'N01BA03', 'S01HA03']"
4024,['C04AE01']
2670,['R05DA04']
2356,['N05BA02']
35296,['C09AA05']
49276,['C02CA04']
8410,"['B01AD02', 'S01XA13']"
105673,['B03AB03']
4257,['B02BD02']
6064,"['D10AD04', 'D10BA01']"
139825,['A10AE05']
1256,['L04AX01']
321952,['D11AH02']
274783,['A10AE04']
5464,['B06AA03']
1649480,['C01EB17']
42330,['R06AX12']
10167,['J01CG01']
3455,"['G04BX13', 'M02AX03']"
6694,['P01BC02']
6813,['N07BC02']
4496,['N05AB02']
1886,"['D11AX26', 'N06BC01']"
60223,['D10AD03']
33199,['P03AC04']
19959,['R06AX18']
8761,['A03AB05']
283810,['S01EE03']
411,['V03AN05']
358263,['G04BE08']
87636,['R06AX26']
10255,['M01AE07']
28439,['N03AX09']
1292422,['J07BK01']
31914,['N03AG06']
11124,"['A07AA09', 'J01XA01', 'S01AA28']"
46241,['D10AX01']
25789,['A10BB12']
10438,['R03DA04']
2286,"['B05CA01', 'D08AJ03', 'D09AA07', 'R02AA06']"
18346,['P01BE03']
36567,['C10AA01']
8704,['N05AB04']
6759,['N01BB03']
15996,['N06AX11']
861634,['C10AA08']
14584,['G03AC08']
10379,['G03BA03']
8463,['D06BB04']
4500,['D07AC07']
6918,['C07AB02']
2447,['C10AC01']
228790,['G04CB02']
1597876,['L01FF01']
2199674,['A06AX08']
2047628,['V03AE10']
596,['N05BA12']
21090,"['D01AE14', 'G01AX12']"
26344,['A10BX01']
1727875,['J06BB02']
4327,['C08EA01']
10324,['L02BA01']
37925,['A08AB01']
805452,['B02BX04']
1363043,['N01AA01']
4256,['B02BD08']
5975,"['R05CA04', 'V03AB01']"
3390,"['G03CB02', 'G03CC05', 'L02AA01']"
1368451,['A16AX09']
2382,['P01BB01']
4832,['H04AA01']
33303,['P03AC03']
9789,['D08AL01']
598,"['C01EA01', 'G04BE01']"
214824,['V03AE02']
873,['D05AC01']
26849,"['D08AC04', 'R01AX07', 'R02AA18', 'S01AX08', 'S03AA05']"
6805,['C01CA09']
8340,['P02CB01']
296,['C01EB10']
4491,"['C05AA06', 'D07AB06', 'D07XB04', 'D10AA01', 'S01BA07', 'S01CB05']"
32009,['R05DA06']
24698,['L01BB05']
1670007,['A10AE06']
32987,['A07BC01']
3353,['S01EC02']
1492727,['L04AA32']
1734628,['J05AP10']
474128,['J05AF11']
2191,['J01DD02']
4129,['G03DC04']
55175,['G04BD06']
40138,['B01AC11']
8152,['A08AA01']
28656,['H01CA02']
52151,['S01GX05']
8160,"['M01AA01', 'M02AA01']"
4719,['C10AB04']
6585,"['A06AD04', 'A12CC02', 'B05XA05', 'D11AX05', 'V04CC02']"
18603,"['R01AC03', 'R06AX19', 'S01GX07']"
616739,['N04BC09']
10689,['N02AX02']
73645,['J05AB11']
25120,"['R01AD04', 'R03BA03']"
2551,"['J01MA02', 'S01AE03', 'S02AA15', 'S03AA07']"
47461,['D01AE23']
1667655,['N05AX15']
3642,['R06AA09']
6058,"['C01DA08', 'C05AE02']"
29164,['B05XA10']
1815,['N01BB01']
39786,['N06AX16']
291204,['D05AX04']
1114326,['R03AC18']
20498,['C07AB08']
10825,['R06AD01']
89785,"['A03BB03', 'S01FA03']"
118886,['S01LA01']
5542,['G03DA03']
400008,['A10AB06']
52358,['A12CC03']
4316,['C08CA02']
632,['L01DC03']
3254,"['D07AB08', 'S01BA11']"
32385,['A07EC03']
38298,"['D01AC07', 'G01AF08']"
8745,"['D04AA10', 'R06AD02']"
35636,['N05AX08']
2626,['N05AH02']
153970,['A03BA03']
2556,['N06AB04']
2378,['A04AD04']
4325,['P02CA06']
17305,['A02BX13']
10528,"['B02BC06', 'B02BD30']"
7393,"['C04AC01', 'C10AD02']"
33431,['R05DA08']
47622,['A12AA05']
7821,"['A01AB25', 'D06AA03', 'G01AA07', 'J01AA06', 'S01AA04']"
7531,['N06AA10']
58300,['A12CB02']
60207,['S01EC03']
8604,"['D08AX06', 'V03AB18']"
275635,['R06AX27']
43611,['S01EE01']
50610,['L02AE03']
84857,['L02BG03']
168,"['G01AD02', 'S02AA10']"
11170,['C08DA01']
283809,['S01EE04']
4821,['A10BB07']
114477,['N03AX14']
60307,['N04BX02']
4508,['L02BB01']
6809,['A10BA02']
1819,"['N02AE01', 'N07BC01']"
2129,['A06AB05']
6852,['N05AA02']
1512,['A16AA06']
35829,['C01EB18']
4388,['B01AD05']
33562,['J05AD01']
322167,['G04BD08']
88249,['R03DC03']
139233,['A12CC09']
4179,['L01CB01']
55672,['J04AB04']
3418,['N02CA01']
301542,['C10AA07']
187832,['N02BF02']
1488564,['A10BK01']
14845,['S01EA03']
60548,['A10BJ01']
2354,['R06AE04']
74667,['N05CF03']
1546438,['D11AA01']
10734,['N06AF04']
4492,['L01BC02']
1986438,['L01XL04']
7804,['N02AA05']
4337,"['N01AH01', 'N02AB03']"
42316,"['D11AH01', 'L04AD02']"
35827,"['M01AB15', 'S01BC05']"
260101,['J05AH02']
37319,['D01AC09']
1551291,['A10BJ05']
1873916,['L01EF02']
194881,['S01EC04']
11636,['G03AC10']
356887,['R06AE09']
6218,['A06AD11']
475968,['A10BJ02']
59839,"['D06BB06', 'J05AB13']"
42375,['L02AE02']
1767,['R06AB01']
1545653,['A10BK03']
4451,"['D01AE21', 'J02AX01']"
5552,['L01XX05']
6915,['A03FA01']
6845,['M03BA03']
1813,['S01ED03']
2177,['J01DB05']
8686,['N01BB04']
9913,['C05BB04']
3350,['M05BA02']
68091,['A04AA04']
135775,['N02CC03']
19729,['M02AX05']
1424,['N04AC01']
35619,"['A07AA11', 'D06AX11']"
9504,['A16AA02']
2017,['A02BX01']
32968,['B01AC04']
306674,['G04BE09']
358262,['J05AE07']
69749,['C09CA03']
72302,['N04BC04']
8766,['N05AC01']
41127,['C10AA04']
12062,['A11CC03']
42463,['C10AA03']
1300786,['G04BD12']
183379,['N06DA03']
746741,['N04BC05']
32624,['N03AF02']
24942,['B03AA03']
1827,['N05BE01']
42736,['V03AF02']
34369,['D07AC18']
8130,['B01AA02']
57258,['M03BX02']
38454,['C09AA10']
6026,['N01AB06']
4127,['J04AD03']
11289,['B01AA03']
4845,['M01AX05']
1901,"['A12AA07', 'B05XA07', 'G04BA03']"
797195,['G04BD11']
276237,['J05AF09']
73494,['C09CA07']
154,['B01AA07']
3389,['A08AA03']
4919,['B05CX03']
1546168,['L03AB13']
38404,['N03AX11']
27866,['R05DB04']
33738,['A10BG03']
733,"['J01CA01', 'S01AA19']"
6703,"['G03AC05', 'G03DB02', 'L02AB01']"
70223,['L03AC01']
6711,['N05CH01']
3251,['H01BA02']
35382,"['D10AX02', 'S01AX06']"
21102,['C09AA08']
2709,"['A07AA10', 'J01XB01']"
732,"['A01AB04', 'A07AA07', 'G01AA03', 'J02AA01']"
4890,['V03AB32']
74,['D02BA01']
1721603,['J05AF13']
30125,['N06BA07']
21249,['D07AB21']
8703,['C10AB05']
569,"['D11AX16', 'P01CX03']"
249,['D08AA03']
83008,['L02BB03']
7396,['C08CA04']
1588,['A11HA05']
3105,['M03CA01']
27169,['L04AA13']
6398,['J01FF02']
26225,['A04AA01']
5880,['L03AB05']
89903,['A12BA05']
5531,['B05AA07']
134404,['G03GA04']
195085,['J05AG03']
5321,['R02AA12']
1918219,['N07XX13']
22696,['R06AB06']
6728,['B02BA02']
1373478,['L04AX07']
119565,['G04BD07']
10561,"['C04AX10', 'G04BE06']"
1908,"['A12AA03', 'D11AX03']"
214555,['L04AB01']
3007,['J04AB01']
59744,['L03AB09']
72965,['L02BG04']
235961,['R05DB14']
47181,['A02BX05']
7646,['A02BC01']
8782,['N01AX10']
6011,['N06AF01']
6581,"['A02AA04', 'G04BX01']"
10898,['N06AX02']
2532300,['L04AA50']
9991,['J01FA02']
197,"['R05CB01', 'S01XA08', 'V03AB23']"
50975,['L02AE05']
2178390,['L01XX66']
75917,['L03AB07']
6185,['C07AG01']
25033,['J01DD08']
1373458,['A10BK02']
3638,"['D04AX01', 'N06AA12']"
42331,"['A02BB01', 'G02AD06']"
593411,['A10BH01']
9997,['C03DA01']
41397,['A09AA04']
60245,['C09AA16']
6901,['N06BA04']
4441,['C01BC04']
72625,['N06AX21']
3339,"['C05AD04', 'D04AB02', 'N01BB06', 'S01HA06', 'S02DA04']"
35208,['C09AA06']
1193326,"['D11AH09', 'L01EJ01']"
36118,['H05BA01']
6069,"['D11AX22', 'P02CF01']"
3554,"['N07BB01', 'P03AA04']"
51272,['N05AH04']
5093,['N05AD01']
10824,['S01ED04']
10205,['M04AB02']
59943,['D06BB10']
40003,['N05AX11']
703,['C01BD01']
3444,['R06AA11']
20217,['R05DB05']
8701,"['C05AD05', 'N01BA02', 'S01HA05']"
588250,['N06AX17']
10869,['S01FA06']
2409,['C03BA04']
6719,['N06DX01']
2194,"['J01DC02', 'S01AA27']"
2628190,['L01EN04']
7993,['V04CG04']
221109,"['A10AB03', 'A10AC03', 'A10AD03', 'A10AE03']"
20012,['D03AX01']
4141,['N01BX01']
7405,['A11HA01']
1546059,['R03AC19']
39998,['N03AX15']
1114195,['B01AF01']
3000,['C03AA07']
709271,['L04AB05']
3489,['C05CA03']
1760,"['G02CB01', 'N04BC01']"
338817,['A16AB04']
7476,['C02DD01']
6038,['J04AC01']
135391,"['R01AC08', 'S01GX09']"
31901,['J01XX07']
1292,['M03BX01']
2606543,['D08AL30']
3827,['C09AA02']
9344,['J05AP01']
644101,['A16AB09']
56466,['B05CB02']
36453,['N01AB08']
5489,['R05DA03']
3445,['V03AB09']
1242806,['D06BX02']
298665,['S01BC10']
134748,['N04BD02']
114970,['R03DC01']
8698,['M04AB01']
1242127,['V03AF09']
22656,['G03AC09']
2372,['N05CM02']
5486,"['A09AB03', 'B05XA13']"
35616,"['A07AA13', 'D06AX15', 'J04AB03', 'S01AA16', 'S02AA12']"
9000,['N07AA02']
1991302,['A10BJ06']
739,['L01XX01']
6765,['G04BX16']
20976,['R03DA02']
689,['R03DA05']
224905,['L01FD01']
3925,['J01MA04']
27712,['C05BB03']
283821,['V03AF07']
9010,['P01BD01']
7145,['L04AA06']
8183,['N03AB02']
2594468,['B06AX04']
7762,['C01AC01']
376,['H01AA01']
36702,['A01AB19']
302379,['R03DX05']
35780,['N01BB09']
1665222,['A16AX13']
258494,['L02BG06']
997602,['N06BX06']
25480,['N02BF01']
19257,['N07AB02']
135447,['N06DA02']
84108,['A10BG02']
321208,['B01AX05']
4678,"['J05AB06', 'S01AD09']"
141626,['C10AC04']
22293,['A06AB03']
22299,['J01XX09']
38409,['L02BA02']
3154,"['D06AA01', 'J01AA01']"
1037042,['B01AE07']
2714,"['B02BC07', 'G04BX11']"
6754,['N02AB02']
38893,['C05CA04']
39684,"['R06AX24', 'S01GX10']"
10473,['L01AC01']
712,"['B05XA04', 'G04BA01']"
2592,['J04BA01']
3002,['L01AA01']
1100699,['A10BH05']
2404,['A10BB02']
2180,['J01DB04']
1894,"['A11CC04', 'D05AX03']"
3102,['G03XA01']
2625,['J01CF02']
1547611,['J01XA05']
2170226,['M09AX09']
3626,['A03FA03']
644,['C03DB01']
73710,['H05BX02']
3995,['L01DB03']
37617,['J01CG02']
67182,['P01AC01']
68442,['L03AA02']
3920,['N01AB04']
475230,['L02BX02']
89013,['N05AX12']
9945,"['A06AD18', 'A06AG07', 'B05CX02', 'V04CC01']"
36709,"['A06AD17', 'A06AG01', 'B05XA09', 'V03AG05']"
1356552,['N03AX22']
897018,['N07XX07']
25255,"['R03AC13', 'R03CC15']"
8328,"['N07AX01', 'S01EB01']"
2550729,['L01EN03']
7226,['C07AA12']
4135,['N03AD01']
300195,['J05AF07']
1029441,['A02AD03']
817579,['N02AJ06']
1551467,['A08AA62']
214559,"['G03AA11', 'G03AB09']"
10831,['J01EE01']
1432023,['B03B']
1422085,['C10BA05']
2047714,['C08CA51']
214558,"['G03AA07', 'G03AA08', 'G03AB03']"
384410,"['G03AA05', 'G03AB04']"
352377,['G03AA13']
1008559,['B03AD02']
389132,['R03AK07']
1009148,['J01CR04']
647235,['A10BD06']
284623,['P01BB51']
1734635,['J05AP54']
1006975,['J01EE07']
135095,['N02AJ07']
34482,['J01DH51']
636632,['G03AA17']
1007976,['B06AA02']
2262025,['A02BD16']
284635,['R03AK06']
840781,['G03AA12']
614348,['A10BD03']
1008145,['J05AR03']
284640,['J05AR10']
1996259,['J05AR20']
1007761,['J05AR06']
1429469,['J01RA04']
729717,['A10BD07']
729455,['C09DB01']
2557234,['J06BD07']
214662,['J04AM05']
994202,['M01AE52']
1002293,['R03AK09']
324044,"['G03AA09', 'G03AB05']"
608868,"['G03AA10', 'G03AB06']"
214866,['C09BB10']
134413,"['C05BA04', 'G04BX15']"
7983,['J01CE09']
1303097,['R03BB05']
40036,['D08AJ08']
56501,"['A01AA02', 'A12CD02']"
705022,"['R01AD12', 'R03BA09']"
1488293,['B02BD11']
103468,['D07AB02']
4608,"['D06AX01', 'D09AA02', 'J01XC01', 'S01AA13']"
10989,['D01AE04']
28004,['C01DA14']
9881,['D08AX07']
4461,"['C05AA10', 'D07AC04', 'S01BA15', 'S02BA08']"
203212,"['R01AX03', 'R03BB01']"
84375,['L03AX13']
40144,['H03AA01']
11065,['A05AA02']
71722,['A06AA02']
142448,['H03AA02']
7982,['J01CE08']
236083,['M05BA04']
28393,['G01AD01']
1918,"['A11HA31', 'D03AX04']"
283550,['G03GA08']
227312,['V04CH02']
225852,['V03AF03']
33688,['A06AB08']
1492940,['V09AX06']
18602,['D10AX03']
235418,['N02BA12']
115265,['M05BA06']
2607,['N05BA05']
202723,['N04AB02']
118463,['C09CA08']
333848,['L01XD01']
52259,['C05BA02']
1305558,['V09GX05']
226724,['V04CX05']
1592899,['B02BD14']
2053281,"['V09IX02', 'V10XA02']"
1371041,['L01FD03']
2264108,['B02BB01']
142136,['L03AX14']
